45	61	PRECONDITION
45	223	PRECONDITION
42	132	PRECONDITION
47	229	PRECONDITION
75	229	PRECONDITION
120	223	PRECONDITION
45	51	PRECONDITION
61	303	FALLING_ACTION
120	123	PRECONDITION
75	120	FALLING_ACTION
74	123	PRECONDITION
42	320	PRECONDITION
51	120	FALLING_ACTION
74	132	PRECONDITION
47	303	FALLING_ACTION
45	320	PRECONDITION
42	123	PRECONDITION
42	114	PRECONDITION
45	132	PRECONDITION
42	51	PRECONDITION
42	61	PRECONDITION
74	114	PRECONDITION
38	120	FALLING_ACTION
57	120	FALLING_ACTION
75	303	FALLING_ACTION
114	120	FALLING_ACTION
45	123	PRECONDITION
61	120	FALLING_ACTION
74	75	PRECONDITION
51	303	FALLING_ACTION
61	74	FALLING_ACTION
223	229	PRECONDITION
74	320	PRECONDITION
120	132	PRECONDITION
57	303	FALLING_ACTION
38	45	FALLING_ACTION
38	74	FALLING_ACTION
45	47	PRECONDITION
38	303	FALLING_ACTION
123	303	FALLING_ACTION
114	303	FALLING_ACTION
42	75	PRECONDITION
42	47	PRECONDITION
42	57	PRECONDITION
45	75	PRECONDITION
45	114	PRECONDITION
45	57	PRECONDITION
42	223	PRECONDITION
74	223	PRECONDITION
47	120	FALLING_ACTION
38	42	FALLING_ACTION
132	303	FALLING_ACTION
120	320	PRECONDITION
51	74	FALLING_ACTION
123	229	PRECONDITION
303	320	PRECONDITION
57	74	FALLING_ACTION
47	74	FALLING_ACTION
223	303	FALLING_ACTION
