59 94	59 94	FALLING_ACTION
35 1231 78_79 493	69_70 1226 109 42_44 462	FALLING_ACTION
69_70 1226 109 42_44 462	35 1231 78_79 493	PRECONDITION
59 94	35 1231 78_79 493	FALLING_ACTION
69_70 1226 109 42_44 462	881_882	FALLING_ACTION
69_70 1226 109 42_44 462	888	FALLING_ACTION
69_70 1226 109 42_44 462	129	FALLING_ACTION
59 94	69_70 1226 109 42_44 462	FALLING_ACTION
69_70 1226 109 42_44 462	895	PRECONDITION
35 1231 78_79 493	501	PRECONDITION
69_70 1226 109 42_44 462	478	PRECONDITION
488	35 1231 78_79 493	PRECONDITION
