79_80	62_63_64_65_66 102 188 52_53 85_86_87_88_89	FALLING_ACTION
168	62_63_64_65_66 102 188 52_53 85_86_87_88_89	FALLING_ACTION
365_366	394	FALLING_ACTION
62_63_64_65_66 102 188 52_53 85_86_87_88_89	131	PRECONDITION
490_491_492_493_494_495	500	PRECONDITION
361	394	FALLING_ACTION
172	62_63_64_65_66 102 188 52_53 85_86_87_88_89	FALLING_ACTION
56 95	62_63_64_65_66 102 188 52_53 85_86_87_88_89	FALLING_ACTION
62_63_64_65_66 102 188 52_53 85_86_87_88_89	99 60	PRECONDITION
99 60	62_63_64_65_66 102 188 52_53 85_86_87_88_89	PRECONDITION
405	411_412	FALLING_ACTION
62_63_64_65_66 102 188 52_53 85_86_87_88_89	199	PRECONDITION
500	502	PRECONDITION
62_63_64_65_66 102 188 52_53 85_86_87_88_89	56 95	PRECONDITION
62_63_64_65_66 102 188 52_53 85_86_87_88_89	191	PRECONDITION
182	62_63_64_65_66 102 188 52_53 85_86_87_88_89	FALLING_ACTION
