155 38 144 95 121 208	40	PRECONDITION
155 38 144 95 121 208	52	PRECONDITION
155 38 144 95 121 208	44_45_46	PRECONDITION
155 38 144 95 121 208	139 195	FALLING_ACTION
91	155 38 144 95 121 208	FALLING_ACTION
106	155 38 144 95 121 208	FALLING_ACTION
155 38 144 95 121 208	139 195	FALLING_ACTION
184_185	155 38 144 95 121 208	PRECONDITION
139 195	155 38 144 95 121 208	PRECONDITION
85	155 38 144 95 121 208	FALLING_ACTION
85	91	FALLING_ACTION
155 38 144 95 121 208	130	FALLING_ACTION
155 38 144 95 121 208	134	FALLING_ACTION
155 38 144 95 121 208	155 38 144 95 121 208	FALLING_ACTION
155 38 144 95 121 208	161	FALLING_ACTION
111	155 38 144 95 121 208	PRECONDITION
155 38 144 95 121 208	184_185	FALLING_ACTION
155 38 144 95 121 208	155 38 144 95 121 208	PRECONDITION
155 38 144 95 121 208	163	FALLING_ACTION
