37 65 96	69	FALLING_ACTION
218	319 244	FALLING_ACTION
213	277	PRECONDITION
213	302	PRECONDITION
35	37 65 96	FALLING_ACTION
114_115_116_117	128	PRECONDITION
213	264_265	PRECONDITION
277	287	PRECONDITION
114_115_116_117	121	FALLING_ACTION
37 65 96	79	PRECONDITION
55_56	37 65 96	FALLING_ACTION
110 31 50	35	FALLING_ACTION
79	37 65 96	FALLING_ACTION
213	319 244	PRECONDITION
69	72	PRECONDITION
110 31 50	55_56	FALLING_ACTION
213	218	FALLING_ACTION
110 31 50	114_115_116_117	FALLING_ACTION
79	91	FALLING_ACTION
302	319 244	FALLING_ACTION
