30	206	FALLING_ACTION
28	219	PRECONDITION
36	70	FALLING_ACTION
70	96	PRECONDITION
96	219	FALLING_ACTION
93_94	96	PRECONDITION
28	30	PRECONDITION
30	117	FALLING_ACTION
36	96	PRECONDITION
70	206	PRECONDITION
28	72	PRECONDITION
28	206	PRECONDITION
30	70	FALLING_ACTION
70	72	PRECONDITION
70	117	PRECONDITION
30	36	FALLING_ACTION
30	93_94	FALLING_ACTION
72	86	PRECONDITION
30	219	FALLING_ACTION
28	228	PRECONDITION
96	109_110_111	PRECONDITION
70	93_94	PRECONDITION
96	206	FALLING_ACTION
96	117	FALLING_ACTION
28	36	PRECONDITION
70	228	PRECONDITION
101	109_110_111	PRECONDITION
28	93_94	PRECONDITION
28	117	PRECONDITION
28	96	PRECONDITION
70	219	PRECONDITION
93_94	101	PRECONDITION
30	109_110_111	PRECONDITION
