598_599_600_601_602_603	617_618	PRECONDITION
134 46_47_48_49_50_51 106_107_108_109_110_111 70	150	PRECONDITION
78	82	FALLING_ACTION
568	573	PRECONDITION
134 46_47_48_49_50_51 106_107_108_109_110_111 70	147	PRECONDITION
134 46_47_48_49_50_51 106_107_108_109_110_111 70	115	PRECONDITION
568	571	PRECONDITION
571	573	PRECONDITION
96_97	100	FALLING_ACTION
126	60_61 129	PRECONDITION
134 46_47_48_49_50_51 106_107_108_109_110_111 70	135	PRECONDITION
161	165	FALLING_ACTION
134 46_47_48_49_50_51 106_107_108_109_110_111 70	71	PRECONDITION
58 123	60_61 129	FALLING_ACTION
