49	73	FALLING_ACTION
73	131	PRECONDITION
175	183_184	FALLING_ACTION
63	175	PRECONDITION
63	121	PRECONDITION
40_41	63	FALLING_ACTION
40_41	49	FALLING_ACTION
160	163	FALLING_ACTION
43	183_184	FALLING_ACTION
43	73	FALLING_ACTION
73	121	PRECONDITION
64	175	PRECONDITION
63	131	PRECONDITION
40_41	73	FALLING_ACTION
121	163	FALLING_ACTION
54	64	FALLING_ACTION
64	121	PRECONDITION
40_41	131	FALLING_ACTION
49	183_184	FALLING_ACTION
126	131	FALLING_ACTION
75	88	PRECONDITION
54	75	FALLING_ACTION
64	131	PRECONDITION
49	126	PRECONDITION
131	183_184	FALLING_ACTION
49	64	FALLING_ACTION
40_41	175	FALLING_ACTION
126	175	FALLING_ACTION
63	163	PRECONDITION
73	163	PRECONDITION
64	73	FALLING_ACTION
63	88	PRECONDITION
75	121	PRECONDITION
54	163	FALLING_ACTION
49	63	FALLING_ACTION
75	160	PRECONDITION
73	75	PRECONDITION
43	64	FALLING_ACTION
54	63	FALLING_ACTION
63	64	PRECONDITION
43	126	PRECONDITION
73	175	PRECONDITION
63	75	PRECONDITION
40_41	64	FALLING_ACTION
54	73	FALLING_ACTION
126	133	FALLING_ACTION
40_41	43	FALLING_ACTION
43	63	FALLING_ACTION
88	163	FALLING_ACTION
73	88	PRECONDITION
