42_43	174_175	PRECONDITION
42_43	80	FALLING_ACTION
113_114	135	PRECONDITION
68_69	71_72	FALLING_ACTION
80	157	PRECONDITION
80	174_175	PRECONDITION
113_114	162_163	FALLING_ACTION
157	162_163	FALLING_ACTION
48	194	FALLING_ACTION
162_163	174_175	PRECONDITION
68_69	80	FALLING_ACTION
194	196	PRECONDITION
68_69	113_114	FALLING_ACTION
42_43	68_69	PRECONDITION
42_43	135	PRECONDITION
80	113_114	PRECONDITION
162_163	179	PRECONDITION
71_72	174_175	PRECONDITION
230	232	FALLING_ACTION
71_72	135	PRECONDITION
42_43	162_163	FALLING_ACTION
68_69	162_163	FALLING_ACTION
80	179	PRECONDITION
71_72	80	FALLING_ACTION
71_72	162_163	FALLING_ACTION
113_114	174_175	PRECONDITION
