72	152	PRECONDITION
106	152	PRECONDITION
112	694	PRECONDITION
36	112	FALLING_ACTION
31	47	FALLING_ACTION
106	691	PRECONDITION
57	612_613	FALLING_ACTION
31	72	FALLING_ACTION
112	621	PRECONDITION
31	106	FALLING_ACTION
31	612_613	FALLING_ACTION
612_613	691	PRECONDITION
47	691	PRECONDITION
57	106	FALLING_ACTION
104	152	PRECONDITION
152	612_613	FALLING_ACTION
31	679	FALLING_ACTION
57	72	FALLING_ACTION
36	57	PRECONDITION
75	152	PRECONDITION
75	112	FALLING_ACTION
621	691	PRECONDITION
31	621	FALLING_ACTION
36	152	PRECONDITION
31	81	FALLING_ACTION
106	112	FALLING_ACTION
57	694	FALLING_ACTION
81	691	PRECONDITION
152	155_158_159	FALLING_ACTION
104	112	FALLING_ACTION
57	679	FALLING_ACTION
72	112	FALLING_ACTION
36	691	PRECONDITION
57	621	FALLING_ACTION
47	152	PRECONDITION
57	81	FALLING_ACTION
57	155_158_159	FALLING_ACTION
57	75	FALLING_ACTION
31	155_158_159	FALLING_ACTION
112	612_613	PRECONDITION
152	694	FALLING_ACTION
81	112	FALLING_ACTION
104	691	PRECONDITION
57	104	FALLING_ACTION
47	112	FALLING_ACTION
31	75	FALLING_ACTION
31	104	FALLING_ACTION
31	694	FALLING_ACTION
81	152	PRECONDITION
773	798	PRECONDITION
75	691	PRECONDITION
72	691	PRECONDITION
47	57	PRECONDITION
152	679	FALLING_ACTION
31	36	FALLING_ACTION
691	694	FALLING_ACTION
152	621	FALLING_ACTION
