211	215	FALLING_ACTION
102	108_109	FALLING_ACTION
21 62 299	132 138 191 109 106 126 145 69 23 307 167 163	FALLING_ACTION
21 62 299	132 138 191 109 106 126 145 69 23 307 167 163	FALLING_ACTION
102	132 138 191 109 106 126 145 69 23 307 167 163	FALLING_ACTION
132 138 191 109 106 126 145 69 23 307 167 163	211	FALLING_ACTION
132 138 191 109 106 126 145 69 23 307 167 163	36	PRECONDITION
21 62 299	306_307	FALLING_ACTION
132 138 191 109 106 126 145 69 23 307 167 163	136	FALLING_ACTION
311 334	344	PRECONDITION
266	271	PRECONDITION
132 138 191 109 106 126 145 69 23 307 167 163	45	PRECONDITION
306_307	311 334	FALLING_ACTION
132 138 191 109 106 126 145 69 23 307 167 163	141	FALLING_ACTION
102	111	FALLING_ACTION
