35	120	FALLING_ACTION
49	190	PRECONDITION
177	185	PRECONDITION
32_33_34	35	PRECONDITION
99	102	FALLING_ACTION
32_33_34	46	PRECONDITION
46	194	FALLING_ACTION
46	120	FALLING_ACTION
158_159	184	PRECONDITION
92	99	FALLING_ACTION
117	194	FALLING_ACTION
120	190	PRECONDITION
190	200	PRECONDITION
174	177	FALLING_ACTION
32_33_34	190	PRECONDITION
46	49	FALLING_ACTION
158_159	173	PRECONDITION
32_33_34	117	PRECONDITION
35	49	FALLING_ACTION
49	117	PRECONDITION
117	120	FALLING_ACTION
78	83	FALLING_ACTION
190	194	FALLING_ACTION
35	194	FALLING_ACTION
