42	219	FALLING_ACTION
46	128	PRECONDITION
121	222	PRECONDITION
23_24	222	PRECONDITION
42	207	PRECONDITION
219	222	PRECONDITION
46	222	PRECONDITION
121	165	PRECONDITION
207	236	PRECONDITION
23_24	128	PRECONDITION
46	165	PRECONDITION
46	158	PRECONDITION
163	209	FALLING_ACTION
121	158	PRECONDITION
207	222	FALLING_ACTION
23_24	40	PRECONDITION
207	359	PRECONDITION
27	46	FALLING_ACTION
23_24	27	PRECONDITION
121	128	PRECONDITION
163	165	FALLING_ACTION
23_24	42	PRECONDITION
128	136	PRECONDITION
40	46	FALLING_ACTION
121	209	PRECONDITION
163	222	FALLING_ACTION
177_178	219	FALLING_ACTION
23_24	209	PRECONDITION
163	236	PRECONDITION
46	209	PRECONDITION
180	201	FALLING_ACTION
40	121	FALLING_ACTION
207	209	FALLING_ACTION
42	46	FALLING_ACTION
165	207	PRECONDITION
23_24	158	PRECONDITION
42	163	PRECONDITION
165	219	FALLING_ACTION
214	219	FALLING_ACTION
42	121	FALLING_ACTION
163	359	PRECONDITION
27	121	FALLING_ACTION
209	219	PRECONDITION
23_24	165	PRECONDITION
