200_201_202	628	PRECONDITION
224	242 90	PRECONDITION
119 288 49 91 188	200_201_202	FALLING_ACTION
606	614	PRECONDITION
211_212	216	PRECONDITION
200_201_202	211_212	PRECONDITION
628	637	FALLING_ACTION
118_119	200_201_202	FALLING_ACTION
187_188	200_201_202	FALLING_ACTION
200_201_202	119 288 49 91 188	PRECONDITION
74	200_201_202	FALLING_ACTION
338	341	FALLING_ACTION
283	119 288 49 91 188	FALLING_ACTION
57_58	200_201_202	FALLING_ACTION
176	180_181	FALLING_ACTION
592	601	FALLING_ACTION
180_181	200_201_202	FALLING_ACTION
