39	57	PRECONDITION
39	79	FALLING_ACTION
39	186_187_188_189	PRECONDITION
41	70	FALLING_ACTION
39	194	FALLING_ACTION
124	170	PRECONDITION
57	191	FALLING_ACTION
57	62	FALLING_ACTION
40	191	FALLING_ACTION
72	186_187_188_189	PRECONDITION
62	126	FALLING_ACTION
40	41	PRECONDITION
57	124	FALLING_ACTION
62	72	FALLING_ACTION
191	194	FALLING_ACTION
70	170	PRECONDITION
57	170	FALLING_ACTION
72	124	PRECONDITION
39	40	PRECONDITION
62	191	FALLING_ACTION
39	170	PRECONDITION
40	70	FALLING_ACTION
57	175_176_177_178	FALLING_ACTION
41	170	FALLING_ACTION
40	175_176_177_178	FALLING_ACTION
170	191	FALLING_ACTION
57	72	FALLING_ACTION
70	72	FALLING_ACTION
126	186_187_188_189	PRECONDITION
62	170	PRECONDITION
40	124	PRECONDITION
70	126	FALLING_ACTION
39	132	PRECONDITION
79	191	PRECONDITION
170	175_176_177_178	FALLING_ACTION
40	57	FALLING_ACTION
40	170	PRECONDITION
124	126	FALLING_ACTION
40	62	PRECONDITION
41	57	FALLING_ACTION
70	124	PRECONDITION
72	194	FALLING_ACTION
126	194	FALLING_ACTION
40	72	FALLING_ACTION
72	132	PRECONDITION
70	191	FALLING_ACTION
57	126	FALLING_ACTION
126	170	PRECONDITION
126	132	PRECONDITION
62	70	FALLING_ACTION
194	197	PRECONDITION
194	201	PRECONDITION
124	191	FALLING_ACTION
72	79	FALLING_ACTION
186_187_188_189	191	FALLING_ACTION
39	62	PRECONDITION
41	124	FALLING_ACTION
41	62	FALLING_ACTION
39	124	PRECONDITION
79	126	PRECONDITION
72	170	PRECONDITION
39	70	PRECONDITION
124	175_176_177_178	FALLING_ACTION
132	191	FALLING_ACTION
57	70	FALLING_ACTION
62	175_176_177_178	FALLING_ACTION
62	124	FALLING_ACTION
40	126	FALLING_ACTION
