82	108_109	PRECONDITION
66	79	PRECONDITION
31	66	FALLING_ACTION
31	152	FALLING_ACTION
47	108_109	PRECONDITION
35	73	PRECONDITION
31	82	FALLING_ACTION
55	66	FALLING_ACTION
55	152	FALLING_ACTION
92	108_109	PRECONDITION
35	79	PRECONDITION
31	35	FALLING_ACTION
73	152	FALLING_ACTION
73	82	FALLING_ACTION
108_109	152	FALLING_ACTION
66	73	PRECONDITION
55	82	FALLING_ACTION
35	55	PRECONDITION
66	108_109	PRECONDITION
55	92	FALLING_ACTION
79	152	FALLING_ACTION
79	82	FALLING_ACTION
35	108_109	PRECONDITION
47	55	PRECONDITION
