34 175 85 123	36 152 63 45	PRECONDITION
58 127	133	PRECONDITION
58 127	67	PRECONDITION
34 175 85 123	194	FALLING_ACTION
67	76	PRECONDITION
173	178_179	FALLING_ACTION
36 152 63 45	76	PRECONDITION
36 152 63 45	58 127	FALLING_ACTION
58 127	144	PRECONDITION
58 127	36 152 63 45	PRECONDITION
83	34 175 85 123	FALLING_ACTION
58 127	36 152 63 45	PRECONDITION
94 184	194	FALLING_ACTION
36 152 63 45	58 127	FALLING_ACTION
58 127	34 175 85 123	PRECONDITION
34 175 85 123	36 152 63 45	PRECONDITION
173	34 175 85 123	FALLING_ACTION
83	88_89	FALLING_ACTION
34 175 85 123	58 127	FALLING_ACTION
34 175 85 123	58 127	FALLING_ACTION
58 127	94 184	PRECONDITION
