56	194	PRECONDITION
65	100	FALLING_ACTION
83_84_85_86_87	135	PRECONDITION
56	135	PRECONDITION
65	83_84_85_86_87	FALLING_ACTION
49	65	PRECONDITION
100	135	PRECONDITION
83_84_85_86_87	162	PRECONDITION
56	65	PRECONDITION
100	130	PRECONDITION
49	68	null
49	130	PRECONDITION
49	162	PRECONDITION
100	162	PRECONDITION
100	194	PRECONDITION
56	162	PRECONDITION
288	290	PRECONDITION
83_84_85_86_87	194	PRECONDITION
283	288	PRECONDITION
56	68	null
49	135	PRECONDITION
83_84_85_86_87	130	PRECONDITION
56	130	PRECONDITION
49	194	PRECONDITION
