90	109	FALLING_ACTION
48_49_50_51_52_53	83	PRECONDITION
87	109	FALLING_ACTION
48_49_50_51_52_53	147	PRECONDITION
48_49_50_51_52_53	87	PRECONDITION
74	147	PRECONDITION
46	48_49_50_51_52_53	FALLING_ACTION
411_412	418	PRECONDITION
74	94	PRECONDITION
43	48_49_50_51_52_53	FALLING_ACTION
46	109	FALLING_ACTION
68_69_70_71_72_73	94	PRECONDITION
68_69_70_71_72_73	90	PRECONDITION
74	90	PRECONDITION
338	341	PRECONDITION
43	74	FALLING_ACTION
68_69_70_71_72_73	147	PRECONDITION
48_49_50_51_52_53	90	PRECONDITION
341	343	PRECONDITION
43	109	FALLING_ACTION
48_49_50_51_52_53	94	PRECONDITION
43	68_69_70_71_72_73	FALLING_ACTION
94	109	FALLING_ACTION
109	147	PRECONDITION
74	87	PRECONDITION
46	68_69_70_71_72_73	FALLING_ACTION
83	109	FALLING_ACTION
98	104	FALLING_ACTION
68_69_70_71_72_73	87	PRECONDITION
46	74	FALLING_ACTION
74	83	PRECONDITION
101	104	PRECONDITION
68_69_70_71_72_73	83	PRECONDITION
