106_107_108_109_110_111	147	PRECONDITION
70	115	PRECONDITION
70	71	PRECONDITION
134	147	PRECONDITION
134	150	PRECONDITION
598_599_600_601_602_603	617_618	PRECONDITION
78	82	FALLING_ACTION
70	150	PRECONDITION
568	573	PRECONDITION
46_47_48_49_50_51	71	PRECONDITION
571	573	PRECONDITION
46_47_48_49_50_51	115	PRECONDITION
106_107_108_109_110_111	115	PRECONDITION
123	129	FALLING_ACTION
46_47_48_49_50_51	150	PRECONDITION
96_97	100	FALLING_ACTION
134	135	PRECONDITION
106_107_108_109_110_111	150	PRECONDITION
71	134	FALLING_ACTION
60_61	123	PRECONDITION
70	135	PRECONDITION
115	134	FALLING_ACTION
58	129	FALLING_ACTION
568	571	PRECONDITION
60_61	126	FALLING_ACTION
70	147	PRECONDITION
161	165	FALLING_ACTION
46_47_48_49_50_51	135	PRECONDITION
106_107_108_109_110_111	135	PRECONDITION
126	129	PRECONDITION
71	106_107_108_109_110_111	FALLING_ACTION
58	60_61	FALLING_ACTION
46_47_48_49_50_51	147	PRECONDITION
